x,y,u,v
0.0,0.0,6.123233995736766e-17,1.0
0.02911790148585386,0.040301241603907995,0.06322288265545586,0.9979994324190442
0.05823732953388969,0.07327498473437818,0.11452849086481892,0.9934199639529231
0.08735981070628945,0.0993791980460004,0.15440521057184076,0.9880076067259126
0.1164868715652351,0.11907185019336453,0.18343522987656455,0.9830317982853515
0.14562003867290862,0.13281090983106045,0.20221902194833966,0.9793403224427436
0.174760838591492,0.141054345613678,0.21132965759173777,0.9774148432585618
0.20391079788316713,0.14426012619580703,0.21129059474117562,0.9774232883320922
0.23307144311011602,0.14288622023203745,0.20257126556714847,0.9792675233900713
0.26224430083452066,0.13739059637695908,0.18559557907481522,0.9826262163345144
0.291430897618563,0.1282312232851618,0.16075922039417745,0.9869936540111371
0.32063276002442503,0.1158660696112355,0.12845228386463978,0.9917156904929749
0.34985141461428865,0.10075310400976999,0.08908430773082109,0.9960240891244149
0.37908838795033584,0.08335029513535519,0.04310919996320695,0.9990703663298858
0.40834520659474866,0.06411561164258092,-0.008952108625729852,0.999959929072737
0.4376233971097089,0.04350702218603705,-0.06649313609908196,0.9977868824812787
0.4669244860573988,0.021982495420313455,-0.12880898352331674,0.9916694236305211
0.49625,0.0,-0.1950903220161282,0.9807852804032304
0.5256014654996948,-0.02198249542031347,-0.26442502598051243,0.9644062451245353
0.5549804091186648,-0.04350702218603705,-0.33580779476015826,0.9419305308664325
0.5843883574190922,-0.06411561164258095,-0.40815761089488917,0.9129114769070308
0.613826836963159,-0.08335029513535519,-0.4803423698347778,0.8770810725021431
0.643297374313047,-0.10075310400977001,-0.5512095171931264,0.8343668666454346
0.6728014960309383,-0.11586606961123551,-0.6196210849542916,0.7849010836277821
0.7023407286790149,-0.12823122328516184,-0.6844911676833996,0.7290211528916127
0.7319165988194587,-0.1373905963769591,-0.7448236590568883,0.6672613557738138
0.7615306330144513,-0.14288622023203745,-0.7997480034154988,0.600335848532239
0.7911843578261755,-0.14426012619580705,-0.8485508181792366,0.5291138903557042
0.8208792998168125,-0.14105434561367802,-0.890701506386389,0.4545886343948971
0.8506169855485446,-0.13281090983106042,-0.9258703834695688,0.3778412801877444
0.8803989415835538,-0.11907185019336458,-0.9539383532394373,0.3000026970192609
0.9102266944840219,-0.09937919804600046,-0.9749977386044069,0.22221478284824503
0.9401017708121311,-0.07327498473437816,-0.989344450651483,0.1455938115618771
0.970025697130063,-0.04030124160390802,-0.9974622130147552,0.07119784833621737
1.0,0.0,-1.0,1.2246467991473532e-16
