up,vp,um,vm
-0.08733219254516084,-0.7823212366975176,-0.9126678074548391,-0.21767876330248231
0.3445160065200088,-0.26010608497649157,-0.5164185569283936,0.24860962881648588
1.412216866488885,0.5741598185329051,0.48155193372931104,0.20828718641674931
2.4844778200866857,0.11960255018612853,1.561753489989626,-0.2658579674378344
3.2532109674809186,-0.6102309897580553,2.290715869067994,-0.8815300600312317
3.9679376927647523,-1.295405148863461,2.989288666432654,-1.500943668998328
4.666208445089658,-1.9650288956400332,3.6777073818269934,-2.1162428101075212
5.357035646308599,-2.627444461661555,4.36214326052492,-2.7283857352301952
6.043725976713875,-3.28603431914075,5.045102542191471,-3.3384865452392196
6.727361897798721,-3.9420330842788975,5.727374006437376,-3.9469541746752745
